valid_time,latitude,longitude,t2m,number,sp,tp
2024-01-08,49.0,1.5,271.83868,0,101361.01,5.4597855e-05
2024-01-08,49.0,1.75,271.92755,0,101396.76,4.553795e-05
2024-01-08,49.0,2.0,272.0467,0,101470.51,3.3020973e-05
2024-01-08,49.0,2.25,272.15118,0,101599.76,2.0384789e-05
2024-01-08,49.0,2.5,272.1917,0,101682.26,1.001358e-05
2024-01-08,48.75,1.5,271.77765,0,100902.26,5.507469e-05
2024-01-08,48.75,1.75,271.8968,0,100978.26,5.018711e-05
2024-01-08,48.75,2.0,271.97345,0,101053.01,4.196167e-05
2024-01-08,48.75,2.25,272.20343,0,101327.01,2.6106834e-05
2024-01-08,48.75,2.5,272.3675,0,101449.51,1.335144e-05
2024-01-08,48.5,1.5,271.77716,0,100559.51,3.8027763e-05
2024-01-08,48.5,1.75,271.96027,0,100735.76,3.7312508e-05
2024-01-08,48.5,2.0,272.1502,0,100946.51,3.4213066e-05
2024-01-08,48.5,2.25,272.3836,0,101200.76,2.3126602e-05
2024-01-08,48.5,2.5,272.57452,0,101356.01,1.347065e-05
2024-01-08,48.25,1.5,272.17853,0,100726.76,1.513958e-05
2024-01-08,48.25,1.75,272.33234,0,100875.51,1.7642975e-05
2024-01-08,48.25,2.0,272.47052,0,100981.01,1.8000603e-05
2024-01-08,48.25,2.25,272.62482,0,101095.01,1.2755394e-05
2024-01-08,48.25,2.5,272.7503,0,101137.76,9.894371e-06
2024-01-08,48.0,1.5,272.60675,0,100932.26,2.861023e-06
2024-01-08,48.0,1.75,272.74884,0,101060.26,5.364418e-06
2024-01-08,48.0,2.0,272.75958,0,100946.76,6.4373016e-06
2024-01-08,48.0,2.25,272.87677,0,101018.51,6.67572e-06
2024-01-08,48.0,2.5,273.00226,0,101063.76,4.2915344e-06
2024-01-09,49.5,1.5,270.59998,0,100782.76,7.987022e-06
2024-01-09,49.5,1.75,270.50037,0,100669.26,6.3180923e-06
